query_idx,dominant_cluster,gt_count_in_cluster
2,345,6
3,1021,9
15,505,8
32,307,9
35,109,8
39,207,10
40,549,6
42,49,6
45,408,6
49,887,7
51,233,6
54,555,6
55,970,9
56,992,9
59,422,7
62,744,9
64,414,6
66,323,6
70,313,9
71,135,7
86,658,10
88,467,9
90,882,9
91,356,8
92,305,8
98,122,10
102,660,8
105,321,7
106,852,6
108,555,8
112,88,10
114,957,9
116,422,9
118,95,6
126,348,7
134,636,8
141,694,10
144,922,6
146,523,7
147,212,6
151,498,8
153,140,6
165,212,7
167,336,8
168,325,7
180,88,6
185,313,9
186,235,6
188,706,7
189,290,8
190,694,10
198,636,7
211,505,6
212,126,6
220,171,6
229,115,6
232,208,10
236,124,6
237,529,6
253,370,7
263,773,8
264,934,6
265,520,10
269,93,6
273,172,8
275,115,6
279,158,6
286,66,7
290,477,7
301,647,7
306,220,6
308,835,6
314,140,6
321,119,6
331,552,7
335,864,9
346,495,7
365,75,6
376,271,7
399,745,7
403,365,6
404,266,8
408,447,7
428,322,6
431,1021,7
436,683,6
442,212,9
455,393,9
457,524,6
462,882,10
463,41,9
468,734,7
470,775,9
478,265,10
480,636,10
484,947,9
485,177,10
490,734,8
491,715,8
493,313,10
495,680,6
498,313,6
503,956,7
505,470,6
509,435,6
510,458,8
514,357,10
517,498,10
518,720,7
521,930,7
525,1003,9
526,616,8
530,268,9
532,112,8
535,887,6
538,695,6
543,101,6
545,187,7
546,447,8
550,767,7
552,887,8
557,938,7
570,115,6
577,32,6
579,418,6
581,882,9
583,196,7
585,669,6
592,984,9
593,205,6
594,767,7
595,358,6
600,347,9
608,633,8
615,689,6
621,514,6
622,112,6
623,801,9
625,413,9
626,919,8
628,720,9
629,357,7
630,7,10
631,422,10
632,422,6
633,555,8
634,177,10
635,177,10
636,112,10
638,219,8
639,950,10
641,341,6
642,298,10
643,1021,6
646,734,6
651,919,6
652,122,6
653,852,7
654,357,10
655,706,7
656,214,8
658,177,7
660,555,9
662,313,10
663,214,9
672,454,6
674,454,8
677,135,6
685,818,6
689,971,6
697,837,9
699,837,9
700,1014,6
704,852,6
709,855,8
710,550,6
716,68,6
725,658,10
727,332,6
732,866,8
733,122,10
736,68,7
740,63,6
746,512,7
749,840,8
751,408,7
752,724,9
755,420,6
756,1021,7
758,809,8
761,599,10
762,370,7
765,797,6
769,268,10
770,96,7
774,919,10
776,734,8
777,1000,8
783,212,9
785,498,8
790,650,8
794,887,6
795,595,7
796,35,6
797,610,7
798,7,8
800,757,10
805,505,9
806,243,10
807,815,7
809,34,10
812,540,10
814,299,6
820,734,9
821,734,6
832,212,8
834,231,6
837,979,6
843,614,7
844,619,6
846,532,6
850,76,7
853,277,8
863,645,6
865,864,7
874,610,10
876,680,6
878,630,8
882,950,8
885,806,8
886,425,6
896,10,7
897,96,6
899,993,6
902,157,7
907,887,6
917,734,7
922,428,7
925,680,7
932,501,7
941,180,6
945,791,7
952,330,6
955,904,8
962,860,6
974,505,6
977,547,6
978,524,9
979,540,6
985,524,6
989,69,7
990,320,9
992,403,7
1004,497,6
1009,358,7
1011,188,6
1015,828,9
1023,219,7
1031,490,6
1039,441,6
1044,754,6
1047,882,9
1051,918,9
1055,422,6
1061,974,7
1065,447,7
1069,884,7
1071,271,6
1077,828,8
1092,113,6
1093,548,10
1097,723,6
1098,882,8
1099,48,9
1104,983,7
1111,734,8
1113,406,7
1117,626,7
1127,878,7
1129,1010,10
1132,990,6
1134,95,6
1143,204,8
1146,690,6
1153,686,7
1155,0,6
1157,78,6
1158,281,10
1159,654,9
1164,971,7
1175,754,8
1204,757,9
1211,743,8
1212,907,7
1215,957,8
1220,957,7
1230,942,9
1241,277,9
1245,211,9
1252,548,10
1256,971,7
1261,412,7
1262,980,9
1264,921,7
1265,442,7
1267,690,9
1268,767,10
1271,89,8
1275,970,6
1277,921,8
1287,226,6
1291,212,7
1294,147,7
1295,540,7
1298,447,6
1302,845,7
1308,986,8
1310,767,6
1314,886,6
1316,616,10
1318,201,6
1320,844,9
1323,382,8
1332,720,8
1337,842,8
1340,101,10
1341,987,10
1348,298,7
1356,239,6
1357,26,6
1358,79,7
1361,65,6
1366,324,9
1373,520,8
1381,422,9
1382,704,6
1383,64,9
1385,442,6
1386,129,6
1395,431,7
1397,271,8
1398,884,10
1399,689,8
1402,422,9
1403,298,6
1404,379,8
1405,734,9
1414,543,7
1415,41,8
1420,253,10
1422,630,7
1424,504,6
1427,357,8
1428,512,6
1433,866,7
1435,357,6
1439,379,6
1440,492,6
1445,670,8
1448,422,8
1449,884,6
1450,504,6
1453,508,10
1455,743,6
1460,723,7
1462,520,6
1466,985,6
1475,298,10
1478,959,9
1486,422,6
1488,921,9
1498,636,6
1501,422,10
1507,945,7
1509,597,6
1510,8,6
1513,723,9
1516,734,6
1517,38,7
1523,156,8
1526,767,8
1531,636,9
1534,842,8
1535,169,8
1538,337,8
1551,203,6
1553,852,8
1554,769,8
1568,113,6
1569,855,6
1573,886,6
1575,91,6
1576,175,10
1577,4,9
1586,99,6
1589,192,8
1592,123,6
1594,69,7
1599,992,9
1602,826,6
1606,240,7
1610,930,6
1617,526,8
1624,624,8
1639,887,6
1643,211,6
1645,299,6
1652,113,6
1653,804,7
1656,357,9
1660,734,8
1663,407,6
1675,983,9
1687,278,6
1688,787,7
1690,653,7
1701,297,6
1707,674,7
1713,166,9
1714,408,7
1729,695,8
1735,1000,7
1751,698,8
1752,421,7
1754,674,6
1756,195,7
1757,923,7
1760,1001,6
1768,385,10
1774,529,7
1775,547,6
1785,703,7
1788,327,7
1794,694,7
1798,124,6
1802,514,6
1809,540,8
1815,12,7
1838,948,6
1839,356,6
1843,466,6
1852,878,6
1853,67,6
1862,177,6
1865,313,7
1869,54,7
1870,529,7
1874,112,7
1875,34,7
1877,214,7
1878,978,7
1879,352,6
1883,767,8
1885,520,10
1887,829,6
1891,855,6
1901,73,10
1907,235,10
1908,130,7
1911,721,7
1913,40,7
1917,152,7
1919,826,6
1921,1000,10
1924,1013,7
1925,788,6
1926,671,10
1930,767,8
1931,192,6
1934,711,7
1938,419,7
1946,722,9
1948,112,7
1950,543,6
1951,959,10
1953,601,6
1954,846,10
1955,846,10
1956,889,6
1962,313,10
1963,40,10
1964,703,7
1969,40,8
1970,970,7
1975,919,8
