query_idx,dominant_cluster,gt_count_in_cluster
54,555,6
59,422,7
70,313,9
108,555,8
116,422,9
147,212,6
165,212,7
185,313,9
442,212,9
468,734,7
490,734,8
493,313,10
498,313,6
514,357,10
521,930,7
532,112,8
550,767,7
594,767,7
622,112,6
629,357,7
631,422,10
632,422,6
633,555,8
636,112,10
646,734,6
654,357,10
660,555,9
662,313,10
776,734,8
783,212,9
820,734,9
821,734,6
832,212,8
917,734,7
1055,422,6
1111,734,8
1268,767,10
1291,212,7
1310,767,6
1381,422,9
1402,422,9
1405,734,9
1427,357,8
1435,357,6
1448,422,8
1486,422,6
1501,422,10
1516,734,6
1526,767,8
1610,930,6
1656,357,9
1660,734,8
1865,313,7
1874,112,7
1883,767,8
1930,767,8
1948,112,7
1954,846,10
1955,846,10
1962,313,10
2027,767,7
2044,212,6
2161,767,10
2163,767,10
2172,734,6
2204,555,9
2206,767,7
2278,846,9
2414,357,7
2826,734,7
2912,734,8
3027,767,7
3034,734,10
3036,767,9
3186,930,6
3203,313,6
3208,422,10
3215,555,10
3218,422,7
3225,930,6
3334,422,7
3354,734,10
3397,212,6
3425,734,6
3552,555,7
3637,212,6
3661,313,6
3702,846,10
3801,112,8
3803,313,6
3804,112,10
3834,112,6
3839,313,6
3846,112,9
3853,112,7
3854,112,6
3860,112,10
3875,212,8
3965,734,6
4008,212,6
4032,112,10
4036,846,10
4208,313,10
4219,555,10
4222,734,7
4228,734,7
4247,734,7
4266,422,6
4354,212,6
4500,846,7
4501,767,6
4526,734,7
4598,930,8
4652,112,8
4736,422,6
4971,555,6
4979,212,7
4981,930,6
4986,212,7
4992,212,7
5001,112,8
5027,357,9
5137,930,10
5140,930,6
5162,734,10
5165,734,7
5170,734,7
5175,734,8
5181,734,10
5185,313,10
5190,313,6
5255,313,7
5260,734,6
5269,212,6
5286,313,9
5294,767,8
5306,767,6
5311,422,10
5315,555,10
5329,313,7
5357,112,7
5358,555,10
5367,555,7
5399,734,10
5438,313,8
5578,930,8
5783,112,9
5792,767,10
5796,422,10
5877,555,7
5878,422,10
5887,846,10
5900,846,7
6003,112,10
6204,313,7
6215,313,10
6229,313,9
6273,313,10
6275,930,10
6277,313,8
6280,313,10
6286,422,6
6290,112,9
6296,555,7
6302,930,10
6303,555,7
6304,313,8
6328,930,8
6382,422,9
6385,357,9
6437,313,10
6471,112,7
6484,734,6
6493,767,8
6513,846,6
6534,422,9
6536,422,10
6537,112,9
6539,112,6
6540,555,6
6541,930,8
6543,555,8
6544,555,10
6549,112,6
6556,555,6
6559,112,10
6579,930,7
6671,313,10
6677,313,10
6689,112,10
6690,313,8
6717,313,8
6731,212,8
6737,313,6
6776,313,8
6793,846,10
6798,422,10
6837,357,10
6957,112,10
6977,212,10
7051,846,6
7068,313,10
7086,422,8
7087,357,7
7134,734,9
7408,357,7
7409,555,7
7476,930,10
7488,357,10
7490,555,9
7497,212,8
7499,422,10
7523,357,7
7527,422,7
7532,930,10
7591,357,6
7593,555,8
7628,112,6
7661,846,9
7816,734,6
7844,930,8
7856,313,6
7881,422,10
7968,734,7
7984,930,9
8037,767,7
8100,422,6
8117,930,9
8125,357,10
8134,930,7
8146,555,7
8171,930,6
8184,422,10
8191,422,10
8192,555,10
8195,422,10
8197,357,8
8204,734,7
8230,846,9
8296,357,10
8305,357,10
8345,357,10
8404,422,10
8407,422,10
8411,555,10
8428,422,9
8430,357,8
8452,767,8
8461,846,6
8553,846,7
8588,846,6
8600,357,6
8602,555,7
8646,422,9
8648,846,8
8682,846,8
8708,212,7
8711,212,8
8715,212,10
8723,212,6
8731,930,8
8737,555,7
8824,212,9
8825,846,6
8841,212,9
8875,555,6
8879,846,10
8888,212,9
8913,357,6
8918,555,7
8937,555,8
8971,930,8
8974,357,9
9055,767,8
9061,212,8
9186,767,10
9192,112,6
9195,212,6
9275,313,10
9281,357,10
9329,212,10
9332,767,7
9356,846,9
9357,357,10
9479,313,7
9521,734,7
9526,112,10
9590,767,6
9628,555,7
9635,212,8
9642,212,8
9688,112,6
9698,734,7
9749,846,9
9758,422,7
9760,313,6
9772,734,9
9830,112,10
9880,422,10
9881,112,8
9903,930,7
9916,112,8
9919,767,8
9928,734,10
9935,422,10
9936,767,8
9941,846,10
9946,212,7
