vector_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
4565,8.762888,4.7300024,4.1487803,1.468752,1.8047577,13.863011,21.423782,3.4351928,2.7101064,4.266254,5.7809124,3.5510566,3.6027277,47.13301,90.297935,3.3099954,11.0815735,3.7877004,4.8471828,2.575663,3.9930372,19.796215,106.077415,32.28264,20.101765,7.519868,5.31178,1.3423258,1.555299,1.6808769,8.37843,18.179415,6.0323305,1.6431625,0.8773482,0.39624912,1.2260813,113.87003,131.90828,7.0091586,2.4318862,0.5345545,0.47176558,0.29273224,1.4916615,128.80786,134.00067,12.218913,127.95851,11.251799,0.24606478,0.088243924,0.47091705,27.496609,129.01828,115.696205,123.338844,16.060244,2.270203,1.2634153,2.6524084,1.7326354,5.092867,45.156418,1.2931128,1.7182108,2.3087664,2.0491254,4.152555,46.742435,68.339485,5.3326116,9.717276,4.7610164,3.0690217,2.3987072,4.092312,17.607002,33.483677,15.4401655,133.86577,17.622505,0.91043967,0.51079655,0.6414654,1.4763886,4.359208,75.39335,132.61253,9.868014,0.4301891,0.68049634,2.3842828,1.6053605,1.3126283,48.149597,1.5722691,2.0567622,2.6286504,2.4962847,3.5441813,3.4712102,3.7436657,3.0296977,9.477617,4.9378853,3.1207802,2.8950791,3.7953367,3.4483006,2.8526542,12.928989,129.27113,28.197289,1.1183219,0.65843534,0.84765065,0.7246184,1.1811109,27.009714,125.59913,17.09237,0.18582132,0.14169936,0.7543158,0.98341054,2.479402,17.676666
4604,16.954895,26.061506,15.515377,1.721735,6.3390617,3.450478,3.1316948,3.6975794,10.753306,45.932083,103.299965,12.248219,2.5594728,2.156446,2.6108015,3.3160982,6.530806,9.264023,73.82436,61.799053,6.027098,3.1031783,3.5214136,4.8724403,7.807804,7.181869,4.376299,11.971447,5.0803285,3.1709833,4.155737,5.6360364,117.568756,45.01856,9.355537,1.2768848,6.133784,2.9853876,2.1171572,26.955235,109.949905,90.29858,117.54151,21.166992,1.300965,0.5367352,1.9746524,21.266415,1.605136,7.6214614,93.68125,121.485596,88.58211,18.815151,2.167294,0.943564,7.4136863,6.6546392,6.5182457,55.989414,63.822716,16.303537,6.504304,5.1962557,112.851715,20.027996,2.1152563,2.0183017,2.6513953,1.2800533,4.084839,46.638233,115.285576,9.388226,2.3712668,1.3383527,1.5132511,19.70019,112.6038,114.24155,1.1393741,0.66410685,2.1222267,17.836094,87.383865,120.39058,110.85545,5.917394,3.8230503,2.0582242,2.174823,9.747528,67.448425,63.13632,9.322994,4.4301624,12.040293,5.522794,2.8268898,3.1133177,2.6798737,1.9929541,11.141909,19.665035,6.1563706,1.347858,1.6266814,1.672307,2.1310985,19.527714,102.68431,41.941658,2.7679567,2.2591038,1.8357991,1.4410105,4.43143,63.559994,78.97722,7.59287,4.062585,3.3192666,2.4004166,1.8453044,4.9935126,16.920525,8.3939295,3.7527103
4644,6.6404138,4.203459,4.1519566,1.4702338,1.8065784,13.861864,21.425219,3.4376493,2.7128403,4.2705574,5.7847266,3.5526214,3.606362,42.885647,89.745735,3.3133345,11.619024,3.7915215,4.849046,2.5772524,3.9970653,20.86974,101.28052,31.750599,19.05235,6.9961386,5.8434095,1.3436798,1.5568681,1.6825726,6.7878923,16.059378,4.4394255,1.1135046,0.87823325,0.39664885,1.2273182,115.44468,133.50111,7.013203,3.492935,0.5350937,0.47224146,0.29302752,1.4931664,130.39758,135.59563,14.8706665,129.54738,8.595476,0.246313,0.08833294,0.47139212,28.04154,130.60822,119.398964,118.03915,13.4087715,2.2714846,1.2646898,2.6550844,1.7343832,4.033356,39.856537,1.2944173,1.7199441,2.3110952,2.0511928,4.156744,47.27349,69.39842,5.3329473,10.251331,4.7638016,3.0721178,2.401127,4.0964403,18.150026,34.02355,17.026485,135.46059,18.150414,1.4416647,0.5113118,0.6421125,1.477878,3.8322904,81.73624,134.20609,9.338584,0.43062308,0.6811828,2.386688,1.60698,1.3139524,43.370937,1.5738552,2.058837,2.6313024,2.4988031,3.5477564,3.474712,3.2151182,3.560034,11.601343,4.9418573,3.1239283,2.8979998,3.7991657,3.4517794,2.8555322,13.453171,130.86133,32.42985,1.6497567,0.6590996,0.84850585,0.72534937,1.1823024,24.889507,117.64312,14.964173,0.18600878,0.14184232,0.75507677,0.98440266,2.4798856,17.687435
4648,40.122814,40.26656,10.1909485,0.95897925,1.0898669,1.5680606,1.403479,4.0095696,24.76778,68.79071,114.465034,36.503067,1.3296117,0.78921396,0.56242836,1.9931217,1.1766934,9.543936,113.0149,76.66281,17.699099,1.4319892,0.62074465,0.5507651,1.6743258,1.5071524,24.055626,40.961174,35.16892,3.350795,1.6691422,1.6782136,122.73947,30.559338,1.2479689,1.0289587,1.67303,1.7611523,1.9607236,22.321087,123.364105,61.181328,47.124107,14.7973385,2.1356726,2.2285302,3.3365397,28.000149,3.1019788,4.908887,69.74809,81.78388,118.62623,43.329163,4.9184065,2.631112,2.1719582,1.2453771,5.749888,29.899916,118.75582,38.245327,1.95554,1.5045606,80.674774,5.1171308,2.55555,2.0890195,2.2989583,1.3309076,5.669192,93.33365,71.32667,2.5239992,0.5494692,0.57538754,0.78273433,22.099386,113.75039,121.2388,1.8773364,0.7231222,0.7088671,3.1585505,67.411,123.583115,113.1746,12.457061,2.8276927,2.1564074,2.20954,4.9222946,68.3964,74.10716,11.868415,3.0985394,5.742611,3.9313662,4.842845,3.4963863,2.9572845,1.859642,4.8877535,17.234112,6.591836,5.736131,7.7806907,4.8540597,2.8445396,11.779743,74.78528,48.08837,3.4121516,5.0087223,9.322384,9.461795,4.495489,51.64083,67.72352,5.7957435,3.2734883,3.686886,5.4735084,2.539999,2.8661218,11.916214,7.2532024,3.602203
5086,28.032612,30.064493,15.565837,1.5022445,5.401644,1.8448106,1.7655412,5.263509,16.98843,48.168682,110.80956,26.164236,2.1742163,0.8003894,0.7042781,2.051452,1.5894716,4.470746,86.03604,94.03944,6.7126865,1.196142,1.3730192,1.9529179,4.9724207,6.2916837,6.4639277,21.565216,5.493811,1.6411618,2.3656313,3.0650632,120.872986,26.256266,5.0203104,1.1824118,6.4767566,2.8569255,2.2162144,30.877117,123.5843,67.377205,92.91994,19.040237,1.2090646,0.8068507,2.7980855,30.080767,2.3050568,4.0999117,75.852585,124.168236,84.84348,28.66955,3.7640448,0.91426927,4.116303,4.8628173,7.228899,70.31509,77.29468,21.828989,4.214837,2.340713,101.499374,18.980165,2.3915954,1.6072401,2.3956337,1.6379311,4.7363467,38.921394,118.506546,5.0965624,0.48297969,0.4086751,0.6727794,24.025581,116.799965,117.71747,1.5725107,0.4805567,0.77858263,8.130603,60.877167,124.91774,120.40374,5.467966,2.318787,1.5918945,1.0119959,5.483549,58.446304,82.02684,13.15723,3.1717932,8.9695215,4.3174095,1.5256666,1.7065821,1.7308118,2.6240819,12.294438,15.579065,4.1789427,1.3358668,1.3552507,1.1404136,2.1855235,22.600636,94.691,29.941824,1.73485,2.467396,2.467396,1.6233933,2.9747248,59.458847,69.11709,3.2516325,3.3687427,3.4204333,2.4399357,1.198565,2.302753,13.955911,7.343467,3.183789
5552,2.794677,22.631067,22.160942,1.1880124,1.4597933,11.598467,20.53117,2.3492584,2.1920922,15.860145,26.774584,2.01365,2.914096,35.033478,82.03676,3.2977846,9.107523,4.9251156,19.385328,2.274488,3.2298012,17.350327,80.86758,33.231365,14.256949,5.6531816,5.6815114,2.9471538,1.2580165,1.3595912,3.9628243,11.749304,1.4446943,0.8997598,1.3301178,0.32050937,0.9917261,123.157814,127.82072,4.3814387,2.3493347,0.43237883,0.3815915,0.2367789,1.2065428,129.65619,139.44066,13.418004,134.5534,2.2318983,0.19903155,0.07137683,0.38090515,24.105234,129.20593,126.78156,98.502426,7.9826517,2.0274143,2.8833263,2.1454225,1.4014564,2.4021046,40.209824,1.045945,1.3897891,1.8674647,1.6574522,5.220231,104.304,49.422386,2.7871659,17.072826,2.992336,2.4824035,1.9402142,3.3101003,23.263355,40.977962,15.070805,139.33153,6.9085298,0.73641664,0.41316202,0.5188546,1.1941892,5.5785255,55.133907,138.31784,4.7383614,0.347962,1.1708926,1.928547,1.2985091,1.0617303,30.65383,1.8922102,2.2840967,2.1262057,2.0191407,2.8667405,8.391924,2.789911,1.1626186,19.551989,5.4261255,2.5242689,2.341709,3.0698898,2.7891867,2.307393,5.4028673,135.61513,27.589127,0.90456396,0.5325809,0.68562925,0.5861136,0.9553513,13.166431,114.69848,7.864758,0.15030313,0.11461471,0.61013454,0.79543984,1.1468333,18.117779
5653,41.304573,40.386406,5.689701,0.24502108,0.27846316,0.4006426,0.35859168,1.024453,24.884014,71.015465,122.14915,54.25813,0.33971843,0.20164572,0.14370155,0.5092465,0.3006475,1.8018982,121.77863,103.06296,7.0226994,0.36587608,0.1586015,0.14072157,0.4277936,0.38508046,30.288494,40.56388,27.973131,1.6006327,0.42646912,0.4287869,124.26328,34.9282,0.31885853,0.262901,0.42746246,0.4499779,0.50096875,24.258879,124.422874,62.802376,39.648792,19.733505,0.54566854,1.3138919,1.5969906,31.239674,2.4407067,2.5840774,78.71587,101.455475,114.175865,49.40963,2.7456589,2.1612504,0.5549396,0.3181963,7.74339,28.53668,123.24545,49.491795,0.4996443,0.38441822,64.22506,2.0519352,0.652948,0.5337486,0.5873884,0.34004954,2.192988,105.90086,55.772713,1.3893849,0.14039046,0.14701264,0.19999018,18.729103,116.38011,123.87986,0.32051408,0.18475914,0.18111694,2.296012,67.58787,124.478836,121.97318,12.435078,0.72248113,0.5509663,0.5645418,3.650299,70.28353,74.34568,4.5213995,0.79168296,2.9562445,2.652617,1.2373564,0.8933336,0.7555921,0.47514224,1.0896816,12.382432,6.4695134,2.050942,2.891629,2.888367,2.5340798,6.9992886,67.39766,44.464645,0.8718115,1.2797385,3.126386,6.5661974,4.2857475,47.287502,70.48115,2.96982,0.83638275,0.94200665,1.2393432,0.6489748,1.4767978,9.4268,4.0867014,1.6648681
5913,128.4346,8.127799,0.2974092,0.36292243,1.786535,1.3296459,1.4825101,25.446905,130.85129,15.000269,2.0274136,0.69464815,1.1622232,0.5365845,0.4221963,19.235214,8.050291,7.0439625,3.908579,3.1099417,4.4451637,2.4936619,1.8423128,2.7941012,1.835697,1.744563,2.2249932,2.541497,4.276701,3.51238,2.0831914,1.2194173,137.4587,7.056997,0.82047516,1.3934557,4.5526485,1.5827162,1.7171493,40.64884,138.7232,12.601722,2.6675215,0.81839526,0.8142357,0.6624115,4.0945406,44.257248,8.159946,8.859722,6.468149,4.8042135,6.705889,14.477024,19.735687,3.6094666,1.2333124,1.8065801,2.733411,2.6357508,7.393258,52.40522,38.604485,2.02883,126.38073,9.358583,1.5515195,1.6669476,4.617122,2.2856834,7.660906,44.418575,132.12094,6.750534,0.11022859,0.079031825,0.22461677,36.38331,126.93603,95.309616,2.4804301,0.6048409,0.58300316,0.48147017,2.0173912,108.01436,138.8771,9.206454,3.6106143,2.5953925,0.21421784,0.22565666,2.3210397,130.87827,131.21649,3.9646437,27.266912,5.919086,1.8863648,1.9258807,2.6902015,3.6829224,11.895061,22.998476,11.85499,3.1920037,2.7574182,1.35186,1.4568892,35.19857,103.94624,40.306446,2.5008516,8.922493,4.7228146,1.217714,0.95670104,45.142715,104.08898,5.239641,9.547289,9.900278,3.3682115,0.7081667,0.9504617,21.679962,35.408638,2.9223847
6047,127.13874,9.601439,0.11656974,0.13289957,0.47331336,0.4800965,0.4557274,4.346079,141.36389,15.763645,0.4270874,0.16555917,0.15425393,0.10878168,1.9364393,28.45319,7.4482155,2.1532743,1.1579094,0.8250324,0.8632191,4.9163413,11.827519,11.177982,0.48135263,0.81649065,0.7994072,0.7159995,2.6413848,7.827909,3.1944504,0.29469034,139.7686,12.85253,0.23665668,0.31905943,0.86949974,0.53184944,0.4449246,14.16885,141.53574,8.713374,0.14169253,0.12410658,0.13490938,0.22032687,5.8294163,76.42743,9.347473,1.0923388,0.5328543,0.46100318,0.8182492,14.181801,58.77574,27.00098,0.32483768,0.35498503,0.29393664,0.31478855,1.9265285,52.48905,74.41238,0.71976787,104.2866,14.148087,0.50295824,0.5413961,1.0300344,0.5805877,0.82930326,30.40224,134.74863,0.39668885,0.044718564,0.03642804,0.063058205,28.529814,104.770515,141.14029,1.5559673,0.08943713,0.056526277,0.06330943,0.394679,141.00539,141.45584,14.476215,0.29619765,0.13993394,0.08441257,0.0801417,0.43336812,112.96184,140.26929,1.1079149,9.835195,2.255499,0.4873821,0.5858635,0.860958,3.38463,9.755807,13.15149,3.7205215,0.41402358,0.44266352,0.43889517,0.5866172,31.001734,97.02258,36.141716,0.42532882,0.65545356,0.63334554,0.35297522,0.48939195,51.757816,91.67957,1.4048663,0.6275673,0.95366114,0.641636,0.2853949,0.3441822,13.035562,34.665478,0.659222
6125,118.85613,3.0636759,0.13474111,0.14989948,0.78486705,1.6455258,3.0038846,51.330894,129.2987,7.6885376,1.1562471,1.4059076,0.67454773,0.63665175,1.3381476,36.44011,6.673316,10.303104,3.792057,4.10533,4.6670322,2.0733287,1.244671,1.2589872,2.6467574,6.2033434,2.372675,2.0017478,3.8114257,1.7196335,0.9886629,0.80507815,137.92738,7.0207906,0.5431751,0.6341254,2.1415415,1.9343771,3.0172954,62.16014,140.67021,14.713413,1.2206385,1.095161,0.5482279,0.9473984,4.312431,65.31302,10.307442,16.361538,9.919934,4.282567,3.5192695,11.126963,32.38103,4.5882607,2.3183892,6.524195,4.543175,3.5680497,4.0783815,31.36523,33.37935,3.7643301,136.7703,27.494005,2.0514333,0.9111868,2.2156491,1.4905736,8.21008,23.299862,139.30595,30.698391,0.15495229,0.10105583,0.5187533,84.86092,128.18994,54.10494,4.109088,1.6825162,0.17768985,0.3275893,1.1562471,115.44931,140.74179,12.379602,5.8397326,1.236639,0.27874568,0.31158882,0.8303421,85.24631,136.63808,27.036192,53.75261,9.741076,1.2480396,0.61307204,1.3650959,3.8325424,14.267925,19.794582,24.148994,3.5911767,1.1680369,1.0130848,2.7546134,77.639755,86.52788,22.353758,3.045149,8.242534,3.3440425,1.0105582,1.3676223,57.23968,62.96417,6.84148,9.345075,10.109866,1.5835974,0.27285072,0.3267472,5.5293117,30.652452,16.01016
